вероятно	верагодна
отечественный	айчынны
глазок	вочка
вечно	вечна
указать	паказаць
указание	указанне
указывать	паказваць
включить	уключыць
крайне	вельмі
власть	улада
владелец	уладальнік
собственность	уласнасць
свойство	уласцівасць
свойства	уласцівасці
устраивать	уладкоўваць
устроиться	уладкавацца
шерсть	поўсць
огонек	агеньчык
воды	вады
шофер	шафёр
воин	воін
владеть	валодаць
волос	валасоў
она	яна
они	яны
враг	вораг
враги	ворагі
ворот	варот
шевелиться	варушыцца
осень	восень
восьмой	восьмы
спасть	выратаваць
вперёд	наперад
впервые	упершыню
влияние	уплыў
воздействие	ўздзеянне
впечатление	уражанне
поразить	ўразіць
утро	раніца
внутри	ўнутры
внутрь	ўнутр
всерьез	сур'ёзна
хоть	хоць
хотя	хоць
весь	увесь
вставать	ўставаць
успевать	паспяваць
вступить	ўступіць
сбежать	збегчы
скрыться	схавацца
убежать	уцячы
устать	стаміцца
потеря	страта
потерять	страціць
терять	губляць
узел	вузел
уши	вушы
вовремя	падчас
поступок	учынак
вчера	учора
вчерашний	учорашні
тюрьма	турма
тюрьма	турма
ворона	варона
роща	гай
крыльцо	ганак
крыльцо	ганак
тряпка	ануча
тыква	гарбуз
пушка	гармата
пушкарь	пушкары
красиво	прыгожа
винтовка	вінтоўка
гей	гей
эй!	гэй!
генеральный	генеральны
прочь	прэч
гигантский	гіганцкі
достойный	годны
достоинство	годнасць
ветка	галінка
горький	горкі
горный	горны
глубина	глыбіня
глубоко	глыбока
насмехаться	насміхацца
зритель	глядач
глянуть	зірнуць
гнать	гнаць
говорить	казаць
час	гадзіна
часы	гадзіннік
кормить	карміць
громко	гучна
голень	галёнка
гордость	гонар
горы	горы
гора	гара
водка	гарэлка
водка	гарэлка
огород	агарод
госпиталь	шпіталь
господь	божа
хозяйка	гаспадыня
гостиница	гасцініца
варить	варыць
играть	гуляць
решетка	рашотка
грозный	грозны
грех	грэх
граждане	грамадзяне
гражданство	грамадзянства
грубый	грубы
группа	група
отряд	атрад
губы	вусны
пуговица	гузік
резина	гума
юмор	гумар
грохот	грукат
громкий	гучны
девушка	дзяўчына
сведение	звядзенне
подарок	падарунак
отдавать	аддаваць
отдать	аддаць
двадцать	дваццаць
двенадцать	дванаццаць
дверца	дзверцы
двигатель	рухавік
дворы	двары
девяносто	дзевяноста
девять	дзевяць
заявить	заявіць
куда	куды
демократия	дэмакратыя
десяток	дзясятак
дешевый	танны
кое-что	сёе-тое
источник	крыніца
зеркала	люстэркі
чудак	дзівак
посмотреть	паглядзець
удивительно	дзіўна
дым	дым
детство	дзяцінства
дыхание	дыханне
дышать	дыхаць
дьявол	д'ябал
девка	дзеўка
девица	дзяўчына
девочка	дзяўчынка
дедушка	дзядуля
действительность	рэчаіснасць
верно	дакладна
действительно	сапраўды
неужели	няўжо
деловой	дзелавы
доставать	даставаць
достать	дастаць
достаться	дастацца
дети	дзеці
выступать	выступаць
повезти	павезці
сутки	суткі
добиться	дабіцца
привезти	прывезці
доказывать	даказваць
договор	дагавор
вверх	уверх
добавить	дадаць
добавлять	дадаваць
дополнительный	дадатковы
приложение	дадатак
разрешение	дазвол
пусть	хай
доказательство	доказ
доллар	даляр
гроб	труна
договориться	дамовіцца
согласиться	пагадзіцца
доноситься	даносіцца
допрос	допыт
доклад	даклад
доложить	далажыць
приняться	прыняцца
допустимый	дапушчальны
дорогой	дарагі
опыт	вопыт
опытный	дасведчаны
весьма	вельмі
исследование	даследаванне
доставить	даставіць
честно	шчыра
достижение	дасягненне
добраться	дабрацца
дойти	дайсці
достигнуть	дасягнуць
касание	дотык
доходить	даходзіць
дождаться	дачакацца
дожди	дажджы
раздражает	раздражняе
мелочь	дробязь
второй	другі
приятель	прыяцель
жена	жонка
жёны	жонкі
типография	друкарня
печать	друк
печатать	друкаваць
очень	вельмі
глупость	глупства
души	душы
душевный	душэўны
экипаж	экіпаж
экономика	эканоміка
экран	экран
специалист	спецыяліст
энергия	энергія
эпоха	эпоха
этап	этап
еврейский	габрэйская
европа	еўропа
европейский	еўрапейскі
жалость	жаль
сожаление	шкадаванне
жалкий	нікчэмны
шутить	жартаваць
ужасный	жудасны
ужасно	жудасна
ужас	жах
попрошайка	жабрак
жирный	тоўсты
жить	жыць
прожить	пражыць
рожь	жыта
женщина	жанчына
октябрь	кастрычнік
жесткий	жорсткі
жестокий	жорсткі
печаль	смутак
журналист	журналіст
запретить	забараніць
забрать	забраць
забывать	забываць
забыть	забыцца
загрузить	загрузіць
задание	заданне
благодаря	дзякуючы
всегда	заўсёды
рьяно	заўзята
вьюга	завіруха
общественность	грамадскасць
генерал	генерал
всеобщий	усеагульны
общий	агульны
захватчики	захопнікі
закалить	загартаваць
гибель	гібель
отряд	атрад
заглядывать	зазіраць
грозить	пагражаць
угроза	пагроза
задумчиво	задуменна
духота	задуха
заяц	заяц
потребовать	запатрабаваць
обычно	звычайна
предварительно	папярэдне
заранее	загадзя
заняться	заняцца
окончание	канчатак
закончиться	скончыцца
концы	канцы
звонок	званок
близко	блізка
закрыть	закрыць
закурить	закурыць
зависеть	залежаць
зависимость	залежнасць
оставлять	пакідаць
остаться	застацца
остаток	рэшту
железо	жалеза
покушение	замах
попытка	спроба
замуж	замуж
заменить	замяніць
вместо	замест
запереть	замкнуць
заказать	замовіць
замолчать	замаўчаць
слишком	занадта
заорать	загарлапаніць
помнить	памятаць
возражать	пярэчыць
записать	запісаць
запись	запіс
записка	запіска
заплакать	заплакаць
заплатить	заплаціць
сейчас	зараз
заработать	зарабіць
принцип	прынцып
средство	сродак
ссылка	спасылка
заснуть	заснуць
уснуть	заснуць
успокоиться	супакоіцца
применять	прымяняць
применение	прымяненне
заместитель	намеснік
задрожать	задрыжаць
замечать	заўважаць
восторг	захапленне
охрана	ахова
защищать	абараняць
запад	захад
захлебнуться	захлынуцца
спрятать	схаваць
захватить	захапіць
захватить	захапіць
захотеться	захацецца
сохранить	захаваць
хранить	захоўваць
собирать	збіраць
собрать	сабраць
сбить	збіць
сбор	збор
строй	будуй
извращенец	перакрут
освобождение	вызваленне
взвесить	узважыць
решиться	вырашыцца
рухнуть	абрынуцца
звание	званне
обращение	зварот
обращаться	звяртацца
сверху	зверху
привычка	звычка
привычный	звыклы
откуда	адкуль
отсюда	адсюль
оттуда	адтуль
освободить	вызваліць
отчет	справаздача
обратный	зваротны
звучать	гучаць
упоминание	згадка
согласно	згодна
впоследствии	пасля
катить	каціць
свернуть	згарнуць
стая	зграя
казаться	здавацца
способность	здольнасць
совершить	здзейсніць
догадываться	здагадвацца
здоровье	здароўе
земли	землі
земной	зямны
из-за	з-за
зимы	зімы
зима	зіма
сыграть	згуляць
сойти	сысці
сорвать	сарваць
звезда	зорка
звёзды	зоркі
съесть	з'есці
сломать	зламаць
преступник	злачынец
преступление	злачынства
соединение	злучэнне
изменение	змена
смена	змена
измениться	змяніцца
содержание	змест
укрепление	умацаванне
понадобиться	спатрэбіцца
познакомиться	пазнаёміцца
знакомство	знаёмства
находить	знаходзіць
орудие	прылада
знать	ведаць
значительный	значны
значительно	значна
внезапно	раптоўна
дно	дно
снизу	знізу
исчезать	знікаць
исчезнуть	знікнуць
исчезнуть	знікнуць
опять	зноў
снова	зноў
изображение	малюнак
картина	карціна
внешний	знешні
вскрикивает	ускрыквае
частность	прыватнасць
тетрадь	сшытак
из-под	з-пад
измена	здрада
обрадоваться	ўзрадавацца
образец	ўзор
понятный	зразумелы
рост	рост
с	з
со	са
останавливаться	спыняцца
остановить	спыніць
переставать	пераставаць
остановка	прыпынак
усилие	намаганне
появиться	з'явіцца
появляться	з'яўляцца
выяснить	высветліць
выясниться	высветліцца
а	а
игра	гульня
игры	гульні
изба	хата
израиль	ізраіль
и	і
император	імператар
империя	імперыя
название	назва
инженер	інжынер
иногда	часам
иностранец	замежнік
инспектор	інспектар
следователь	следчы
институт	інстытут
инструмент	інструмент
интерес	цікавасць
остальное	астатняе
покой	спакой
другой	іншы
иной	іншы
прочий	іншы
искра	іскра
существование	існаванне
существовать	існаваць
экзамен	экзамен
TRUE	TRUE
истинный	сапраўдны
рассказ	апавяданне
столовая	сталовая
ёж	вожык
пища	ежа
ей	ёй
им	ім
ехать	ехаць
их	іх
ему	яму
ездить	ездзіць
ехать	ехаць
идти	ісці
пойти	пайсці
ходить	хадзіць
кабина	кабіна
кофе	кава
арбуз	кавун
мол	маўляў
сказка	казка
камера	камера
камни	камяні
шляпа	капялюш
столица	сталіца
капитан	капітан
часовня	капліца
карьера	кар'ера
карточка	картка
стул	крэсла
броситься	кінуцца
торопиться	спяшацца
торопливый	паспешлівы
билет	білет
апрель	красавік
плохо	дрэнна
голова	галава
головы	галовы
начальство	начальства
руководитель	кіраўнік
руль	руль
кивать	ківаць
бросать	кідаць
бросаться	кідацца
ковер	дыван
ковёр	дыван
китайский	кітайскі
карман	кішэня
комната	пакой
конец	канец
кончаться	канчацца
кость	косць
кот	кот
кошка	котка
класс	клас
класть	класці
клетка	клетка
ходатайство	хадайніцтва
книга	кніга
книжка	кніжка
одеяло	коўдру
глоток	глыток
всякая	усякая
всякий	усякі
колхоз	калгас
коллега	калега
коллектив	калектыў
когда	калі
колыбель	калыска
колыбельная	калыханка
некогда	некалі
цвет	колер
бревно	бервяно
круг	круг
круги	колы
кружок	гурток
колонна	калона
командовать	камандаваць
насекомое	казурка
комиссар	камісар
комиссия	камісія
комитет	камітэт
компьютер	камп'ютар
коммунистический	камуністычны
коммунист	камуніст
конкретный	канкрэтны
понятие	паняцце
конь	конь
корабль	карабель
корреспондент	карэспандэнт
полезный	карысны
польза	карысць
коричневый	карычневы
королева	каралева
космический	касмічны
константин	канстанцін
любовница	палюбоўніца
галстук	гальштук
наследие	спадчына
магазин	крама
капелька	кропелька
красота	прыгажосць
красавица	прыгажуня
мел	крэйда
черчение	чарчэнне
кривой	крывы
ледяной	ледзяны
крыло	крыло
орать	гарлапаніць
крышка	крышка
сквозь	скрозь
через	праз
помимо	апроч
кресло	крэсла
шаги	крокі
шагать	крочыць
шаг	крок
крутой	круты
культурный	культурны
шар	шар
покупать	купляць
покупать	купляць
уголок	куток
кружка	гуртка
пробовать	спрабаваць
цепь	ланцуг
ласково	ласкава
легкое	лёгкае
лекция	лекцыя
аист	бусел
ленинград	ленінград
ленинградский	ленінградскі
буква	літара
ноябрь	лістапад
горе	гора
рыцарь	рыцар
лишь	толькі
слева	злева
лидер	лідэр
кровать	ложак
врач	лекар
врачи	лекары
больница	бальніца
лекарства	лекі
лекарство	лекі
локоть	локаць
лечение	лячэнне
линия	лінія
лесной	лясны
самолёт	самалёт
летать	лятаць
литература	літаратура
литературный	літаратурны
лето	лета
фонарь	ліхтар
метр	метр
счетчик	лічыльнік
ловить	лавіць
летчик	лётчык
погреб	склеп
любить	кахаць
человек	чалавек
человечество	чалавецтва
февраль	люты
бояться	баяцца
кукла	лялька
обезьяна	малпа
будущее	будучыня
будущий	будучы
почти	амаль
виднеться	відаць
мастер	майстар
мастерская	майстэрня
рисовать	маляваць
рисунок	малюнак
чахнет	чэзне
зря	дарма
смазка	змазка
материал	матэрыял
материальный	матэрыяльны
матери	маці
махать	махаць
медицинский	медыцынскі
предел	мяжа
меня	мяне
менее	менш
сеть	сетка
скорее	хутчэй
металл	метал
цель	мэта
метода	метаду
механизм	механізм
обитатели	насельнікі
невольно	мімаволі
мы	мы
миновать	абмінуць
мирный	мірны
охотник	паляўнічы
охота	паляванне
искусство	мастацтва
таможня	мытня
мгновение	імгненне
мгновенно	імгненна
миг	імгненне
милиция	міліцыя
миллион	мільён
мина	міна
министерство	міністэрства
министр	міністр
менять	мяняць
мера	мера
соображение	меркаванне
мистер	містэр
содержать	змяшчаць
город	горад
место	месца
очко	ачко
сумка	сумка
мгла	імгла
вялая	млявая
языки	мовы
тишина	цішыня
помолчать	памаўчаць
мой	мой
мочь	магчы
вероятно	верагодна
мозг	мозг
молодость	маладосць
молодежь	моладзь
москва	Масква
веревка	вяроўка
темно	цёмна
мечта	мара
мечтать	марыць
изморось	изморось
музыкальный	музычны
каменщик	муляр
стены	сцены
мягко	мякка
мясо	мяса
множество	мноства
набрать	набраць
даже	нават
зачем	навошта
нарочно	знарок
наоборот	наадварот
научить	навучыць
научиться	навучыцца
напоминать	нагадваць
щека	шчака
чрезвычайно	надзвычай
надежный	надзейны
надел	надзел
надежда	надзея
поступать	паступаць
догнать	дагнаць
навстречу	насустрач
наиболее	найбольш
самый	самы
принадлежать	належаць
палатка	палатка
ожерелье	каралі
видимо	мабыць
возможно	магчыма
накануне	напярэдадні
накануне	напярэдадні
надпись	надпіс
по	па
напряжение	напружанне
направление	напрамак
встреча	сустрэча
невеста	нявеста
рождение	нараджэнне
родить	нарадзіць
надругательство	здзек
население	насельніцтва
насколько	наколькі
следствие	следства
последовать	рушыць услед
наступать	наступаць
вслед	услед
нажать	націснуць
толпы	натоўпу
наклониться	нахіліцца
потомки	нашчадкі
опасность	небяспека
неописуемо	неапісальна
неотвратимость	непазбежнасць
неведомый	невядомы
немедленно	неадкладна
небрежность	нядбайнасць
воскресенье	нядзеля
аляповато	аляпавата
недостаток	недахоп
трудно	цяжка
около	каля
независимый	незалежны
необыкновенный	незвычайны
неё	яе
неторопливый	марудлівы
нет	не
нету	няма
словно	нібы
пожилой	пажылы
ненавидеть	ненавідзець
необходимость	неабходнасць
требоваться	патрабавацца
непременно	абавязкова
неряшливость	неахайнасць
неплохо	не дрэнна
неподалеку	непадалёк
неповиновение	непадпарадкаванне
незаметно	неўзаметку
неприятный	непрыемны
неистовый	апантаны
бесконечный	бясконцы
неожиданно	нечакана
нестись	несціся
ней	ёй
внизу	унізе
ниже	ніжэй
ныне	цяпер
нынче	сягоння
ноготь	пазногаць
ножка	ножка
нежный	далікатны
никогда	ніколі
никому	нікому
германский	германскі
германия	Германія
нос	нос
никого	нікога
никто	ніхто
нечего	няма чаго
неловко	ніякавата
новость	навіна
носы	насы
блокнот	нататнік
нравиться	падабацца
понравиться	спадабацца
хорошо	добра
нём	ім
обсуждать	абмяркоўваць
обосновать	абгрунтаваць
обмануть	падмануць
объект	аб'ект
оба	абодва
объятия	абдымкі
обойти	абысці
поле	поле
обмен	абмен
обязательно	абавязкова
обязательно	абавязкова
обязанность	абавязак
боготворит	абагаўляе
обидеться	пакрыўдзіцца
горизонт	гарызонт
обстоятельство	акалічнасць
объем	аб'ём
получение	атрыманне
впрочем	зрэшты
одинаковый	аднолькавы
одновременно	адначасова
сразу	адразу
отчаянный	адчайны
одежда	адзенне
вооруженный	узброены
оглядываться	аглядацца
означать	азначаць
карандаш	аловак
обман	падман
внук	унук
овладеть	авалодаць
оперативный	аператыўны
описать	апісаць
опуститься	апусціцца
организм	арганізм
устроить	задаволіць
образование	адукацыя
майор	маёр
личность	асоба
особенно	асабліва
остров	востраў
отверстие	адтуліну
из	з
поэтому	таму
окруженный	акружаны
окружение	асяроддзе
окружающее	навакольнае
попасть	патрапіць
отравиться	атруціцца
яд	яд
офицер	афіцэр
чиновник	чыноўнік
ой	ой
охватить	ахапіць
охотно	ахвотна
оценить	ацаніць
оценка	ацэнка
явно	відавочна
камыш	чарот
глаз	вока
ожидание	чаканне
оговорить	абгаварыць
холм	груд
падать	падаць
капля	кропля
курить	паліць
пальцы	пальцы
каравай	каравай
памятник	помнік
чулки	панчохі
бумага	папера
бумажка	паперка
париж	парыж
забор	плот
пароход	параход
пассажир	пасажыр
сковорода	патэльня
крыса	пацук
некий	нейкі
ад	пекла
лепестки	пялёсткі
перебить	перабіць
проверить	праверыць
проверять	правяраць
переговоры	перамовы
перекличка	пераклічка
передавать	перадаваць
предусмотрено	прадугледжана
предисловие	прадмова
передний	пярэдні
фронт	фронт
предстоять	трэба будзе
предпосылка	перадумова
переживать	перажываць
пережить	перажыць
двигаться	рухацца
перевод	пераклад
убедиться	пераканацца
перечень	пералік
победить	перамагчы
прервать	перапыніць
превращаться	ператварацца
переход	пераход
переходить	пераходзіць
возражать	пярэчыць
препятствие	перашкода
помешать	перашкодзіць
период	перыяд
штаб	штаб
кулак	кулак
перед	перад
прежде	перш
петербургский	пецярбургскі
пещера	пячора
пыль	пыл
пилить	пілаваць
писать	пісаць
вопрос	пытанне
спрашивать	пытаць
гордиться	ганарыцца
южный	паўднёвы
юг	поўдзень
север	поўнач
полтора	паўтара
подвал	склеп
подвести	падвесці
повышение	павышэнне
подготовка	падрыхтоўка
готовить	гатаваць
готовиться	рыхтавацца
подготовить	падрыхтаваць
подземный	падземны
подобрать	падабраць
лезть	лезці
подчеркнуть	падкрэсліць
подписать	падпісаць
под	пад
предприятие	прадпрыемства
учебник	падручнік
итог	вынік
подтвердить	пацвердзіць
поддержать	падтрымаць
поддержка	падтрымка
поддерживать	падтрымліваць
подхватить	падхапіць
спустя	праз
поздно	позна
песня	песня
песок	пясок
пистолет	пісталет
печка	печка
печь	печ
плавать	плаваць
закричать	закрычаць
планета	планета
платье	сукенка
площадка	пляцоўка
плечо	плячо
плечи	плечы
плыть	плыць
плод	плён
пятно	пляма
бутылка	бутэлька
пожелание	пажаданне
рядом	побач
построить	пабудаваць
наводнение	паводка
уважение	павага
уважать	паважаць
поведение	паводзіны
отдавать	аддаваць
вернуть	вярнуць
возвратиться	вярнуцца
возвращаться	вяртацца
этажи	паверхі
поверхность	паверхня
этаж	паверх
должно	павінна
сообщение	паведамленне
сообщать	паведамляць
повесить	павесіць
повесть	аповесць
воздух	паветра
воздушный	паветраны
полностью	цалкам
повторить	паўтарыць
повторять	паўтараць
плохо	дрэнна
поглядывать	пазіраць
ограбление	рабаванне
подавать	падаваць
далее	далей
налог	падатак
звонить	тэлефанаваць
удивление	здзіўленне
путешествие	падарожжа
подробность	падрабязнасць
поэт	паэт
пожар	пажар
вне	па-за
позади	ззаду
сзади	ззаду
лишенный	пазбаўлены
позиция	пазіцыя
наказание	пакаранне
причём	прычым
полагаться	спадзявацца
поколение	пакаленне
покрыть	пакрыць
починка	папраўка
полететь	паляцець
политик	палітык
полет	палёт
полицейский	паліцэйскі
полиция	паліцыя
пламя	полымя
клубника	клубніцы
заключаться	заключацца
заметный	прыкметны
умереть	памерці
ошибиться	памыліцца
ошибка	памылка
заметить	заўважыць
замечать	заўважаць
заметный	прыкметны
заметно	прыкметна
месть	помста
попасться	трапіцца
предупреждать	папярэджваць
предупредить	папярэдзіць
предыдущее	папярэдняе
направиться	накіравацца
посоветовать	параіць
ранить	параніць
рядом	побач
нарушение	парушэнне
спасение	выратаванне
должность	пасада
должность	пасада
пост	пост
посреди	пасярод
посидеть	пасядзець
посылать	пасылаць
прихвостень	прыхвасцень
услуга	паслуга
улыбка	усмешка
поставить	паставіць
сунуть	сунуць
снабжение	забеспячэнне
постель	пасцеля
выстрел	стрэл
постучать	пастукаць
посуда	посуд
затылок	патыліца
поток	паток
попадать	трапляць
потребность	патрэба
потянуть	пацягнуць
поезд	цягнік
покачать	пагушкаць
пошатнуться	пахіснуцца
поход	паход
мрачный	змрочны
происхождение	паходжанне
походить	быць падобным
поинтересоваться	пацікавіцца
поцеловать	пацалаваць
начаться	пачацца
начинать	пачынаць
начинаться	пачынацца
вершина	вяршыня
послышаться	прычуцца
толк	толк
почет	пашана
объяснение	тлумачэнне
объяснить	растлумачыць
объяснять	тлумачыць
доска	дошка
справа	справа
стремление	імкненне
стремиться	імкнуцца
практически	практычна
флаг	сцяг
работник	працаўнік
сотрудник	супрацоўнік
работать	працаваць
труд	праца
подать	падаць
представляться	прадстаўляцца
представитель	прадстаўнік
представление	прадстаўленне
пресса	прэса
примерно	прыкладна
приехать	прыехаць
прибыль	прыбытак
приобрести	набыць
приятно	прыемна
произвести	вырабіць
назначение	прызначэнне
завалина	прызба
брать	браць
взять	узяць
прием	прыём
зайти	зайсці
приезжать	прыязджаць
приходить	прыходзіць
пример	прыклад
прикрыть	прыкрыць
обидно	крыўдна
прибор	прыбор
лечь	легчы
ложиться	класціся
экземпляр	экзэмпляр
принуждение	прымус
приносить	прыносіць
прекратить	спыніць
предположить	выказаць здагадку
естественный	натуральны
посвятить	прысвяціць
присесть	прысесці
устройство	прылада
страсть	запал
устройство	прылада
присутствие	прысутнасць
прижать	прыціснуць
благосклонность	добразычлівасць
взгляд	погляд
зрение	зрок
прощение	прабачэнне
пробовать	спрабаваць
провожать	праводзіць
взяться	ўзяцца
выполнять	выконваць
держать	трымаць
переулок	завулак
программа	праграма
продавать	прадаваць
продажа	продаж
продать	прадаць
держаться	трымацца
продолжить	працягнуць
продукт	прадукт
продукция	прадукцыя
прозрачный	празрысты
перейти	перайсці
просыпался	прачынаўся
проснуться	прачнуцца
проснуться	прачнуцца
проклятый	пракляты
луч	прамень
промышленность	прамысловасць
луч	прамень
насчет	наконт
о	аб
обо	аба
предложение	прапанова
предлагать	прапаноўваць
пропустить	прапусціць
пространство	прастора
противник	супернік
противоположный	супрацьлеглы
профессиональный	прафесійны
профессия	прафесія
профессор	прафесар
просьба	просьба
проход	праход
процесс	працэс
прослойки	праслойкі
прощать	дараваць
проявить	праявіць
проявление	праява
птица	птушка
публика	публіка
пустота	пустата
пятьдесят	пяцьдзесят
пятый	пяты
пятнадцать	пятнаццаць
пятьсот	пяцьсот
пять	пяць
полеводство	паляводства
радио	радыё
радостный	радасны
радостно	радасна
радоваться	радавацца
советник	саветнік
скорее	хутчэй
вместе	разам
утренний	ранішні
вдруг	раптам
вдруг	раптам
копыта	капыты
рвать	рваць
рваться	рвацца
порывисто	парывіста
реакция	рэакцыя
реальность	рэальнасць
хохотать	рагатаць
редакция	рэдакцыя
режим	рэжым
режиссер	рэжысёр
рельсы	рэйкі
ремень	рамень
республика	рэспубліка
тщательно	старанна
вещество	рэчыва
решетка	рашотка
рыба	рыба
рисковать	рызыкаваць
рынок	рынак
черт	чорт
ровно	роўна
равный	роўны
редко	рэдка
Рождество	Каляды
резко	рэзка
год	год
река	рака
решительно	рашуча
делать	рабіць
разбираться	разбірацца
разбитый	разбіты
раздор	разлад
разбудить	абудзіць
перестройка	перабудова
развлечение	забаўка
развести	развесці
развиваться	развівацца
развитие	развіццё
разведка	разведка
разведчик	разведчык
разветвление	разгалінаванне
разглядеть	разглядзець
развернуть	разгарнуць
разобрать	разабраць
разойтись	разысціся
раскрыть	раскрыць
распахнуть	расхінуць
рассуждать	разважаць
размер	памер
беседа	гутарка
поговорить	пагаварыць
рассказывать	расказваць
распоряжение	распараджэнне
рассчитывать	разлічваць
расчет	разлік
слеза	сляза
отличаться	адрознівацца
рассмеяться	засмяяцца
расстрелять	расстраляць
расположить	размясціць
понимание	разуменне
разум	розум
раствор	раствор
годы	гады
муха	муха
скала	скала
русский	руская
вставать	ўставаць
подниматься	паднімацца
расти	расці
рубли	рублі
рукопись	рукапіс
движение	рух
подвижный	рухомы
ружье	стрэльба
ружье	стрэльба
строка	радок
обильно	багата
сады	сады
сад	сад
участок	участак
одна	адна
себя	сябе
именно	менавіта
произвол	самавольства
ругаться	лаяцца
свинья	свіння
совесть	сумленне
сознание	прытомнасць
светиться	свяціцца
миры	міры
фотография	фатаграфія
празднование	святкаванне
праздник	свята
секретарь	сакратар
секретный	сакрэтны
тайна	таямніца
крестьянин	селянін
среди	сярод
серьезно	сур'ёзна
сэр	сэр
сердце	сэрца
седой	сівы
седина	сівізна
